web_scraper_order,web_scraper_start_url,title,content,author_or_gender_area
"1779465231-1","https://www.dcard.tw/f/partner_selection_criteria/p/260620352","#異性 #徵友#找另一半#女朋友#異性","#異性 #徵友#找另一半#女朋友#異性J弘光科大並勝中學追蹤1 月 6 日 23:59小弟我，23，170/43，活潑外向，超級E人，大家都說我可愛？！可能我很瘦小的感覺😆我很愛交朋友聊天，穿搭，騎車開車兜風逛逛街，很喜歡聽音樂，去咖啡廳！
學歷是目前大學休息一下，後面會補回去，在兼差補習班老師、百貨公司銷售人員！
合得來，可以私訊，然後追蹤ig私傳照片～～

擇偶條件：女生，年齡：18～25，身高不要求，外貌：順眼就可以，接受體重範圍是55公斤內，學歷不要求，希望是開朗活潑，然後也跟我一樣愛家人的，希望也是台中，我蠻喜歡見面吃飯，逛逛街～～
歡迎來私訊，然後可以聊聊，如果沒有符合條件也沒關係也歡迎來交朋友～～徵友另一半女朋友女友感情","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779465237-2","https://www.dcard.tw/f/partner_selection_criteria/p/260620748","#異性 #異性#台南#尋找另一半","#異性 #異性#台南#尋找另一半T南部長得像斯文人阿羅哈～ 

年齡：29歲屬豬
身高：170cm
體重：60初
地區：台南
職業： 半導體設備製造 週休二日、穩定收入
學歷：大學
星座：水瓶
交往經驗：一任 跟前任完全沒聯繫 也不會有藕斷絲連的曖昧對象 交往時跟異性會保持邊界感 安全感是彼此互相給的

 興趣：無不良嗜好 會下廚  看小說 追劇 吃美食 喝咖啡 逛大賣場  逛夜市 散步 微微小酌 自助洗車 
喜歡開車到別人活膩的地方去🤣（有伴的出遊才叫旅行
可以一起宅在家 也可以一起出門
個性：情緒穩定 不太喜歡吵架 有摩擦當場說    

在意聊天溫度*：在意聊天的對等性，比較不擅打字聊天但會盡量開話題，如果但只是單方面丟球，就不會再繼續了～我相信現代人就連我基本都是手機不離身的，晚個幾小時回都還好，隔天就有點冷了，畢竟聊天熱度不像食物冷掉能再加熱

徵伴
年齡：20~35（年齡其實倒還好～
地區：南部（台南高雄屏東縣都行～
外貌：每個人都馬是外貌協會的 其實雙方看順眼最重要 
學歷：不限
性別：女性
身高體重：正常BMI就行
剩下的就靠聊天認識了

有興趣的異性朋友 歡迎私聊 交換照片異性台南尋找","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779465242-3","https://www.dcard.tw/f/partner_selection_criteria/p/260622294","#異性 #找對象 能一起分享生活","#異性 #找對象 能一起分享生活M阿嚕米嫩由於之前發文沒有遇到合適的對象 因此再發一次 歡迎私訊認識～
關於我
年齡：19-22 
身高-體重：≈110（身高175以上）
學歷：青椒二類理工科系
MBTI:ENTJ（沒有很E 平常生活也很喜歡一個人獨處的）
個性：幽默愛開玩笑、待人友善有禮貌、喜歡理性思考、在處理重要事情的時候會認真不拖泥帶水、會盡可能給予身旁的人情緒價值、對待重視的人通常蠻大方的
興趣：喜歡打球運動（排球為主、同時也喜歡打桌球、壘球）、看電影（偏好動作片）、看球賽（棒球、排球、羽球、桌球）、追劇（動漫、韓劇）、健身（體脂率12%上下）、旅遊、剛開始學習日文（希望之後能到日本獨旅）、學做料理（家常菜為主 目前還是初學者）、聽音樂（歐美流行音樂、微聽團、Jpop等）、喜歡想脫口秀稿子（喜劇）、研究穿搭（偏好韓系）
收入：從事家教
感情史：牡丹🥲

理想型：
學歷：私立前段大學以上
年齡：19-23
外貌：身材健康（不要過瘦 希望BMI在正常區間之內）、身高155～170公分、合眼緣即可（可私訊換照）
個性：善良溫柔、思想成熟、面對衝突能夠先溝通理性思考、能給予情緒價值、三觀正、價值觀相符、能夠一同培養愛好興趣、有上進心能一起進步
地區：中部（中彰投）、新竹一帶、抑或是雙北捷運站附近
加分項：會穿著打扮、也同樣喜歡下廚學廚藝

希望大家在新的一年都能結識到好的對象～中部新竹","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779465248-4","https://www.dcard.tw/f/partner_selection_criteria/p/260623072","#異性 #異性 #異性#彰化 尋找人生伴侶","#異性 #異性 #異性#彰化 尋找人生伴侶Z冰人年齡：31
職業：某家農會、有斜槓小朋友運動教學
學歷：國立大學 私立碩
年薪：正職60左右加上斜槓共100上下
資產：有車有房
負債：房貸與一點車貸
身形：174/86 健壯的身形

興趣：熱愛運動、陪另一半四處走走
個性：逗趣、愛開無傷大雅玩笑
缺點：工作旺季時偏忙
家庭狀況：父母健在 有一個哥哥
金錢觀：平時不會亂花錢、對於另一半基本上會主動負擔，但希望另一半也能為了家庭付出
生活圈：北彰化
—————————————————
期望對象：
年齡：32歲以下
學歷：大學畢業
經濟：至少能負擔起自己
金錢觀：能夠自己存點錢
外型：身高偏好約155以上、看起來乾淨整齊標準身材、長得可愛喜歡運動加分
個性：情緒穩定、能溝通
地點：中部不要太遠
地雷：菸、約過炮","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779465253-5","https://www.dcard.tw/f/partner_selection_criteria/p/260623512","#異性 #異性 歡迎善用dcard 聊天功能","#異性 #異性 歡迎善用dcard 聊天功能MRicha【自我介紹】
年齡：25
身高體重：179/75
職業：網軍
個性：好
興趣：最近在查dcard的私訊功能，發現好像需要我先發一篇有開私訊的文，對方才能用那篇文聯絡到我。 所以這篇廢文就誕生了，thank you for your attention to this matter

【擇偶條件】
年齡：都行
身高體重：都行
個性：好了就好了
興趣：希望一起喜歡dcard 私訊功能","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779465259-6","https://www.dcard.tw/f/partner_selection_criteria/p/260624945","#異性 #異性 #找共度餘生的另一半 可先從朋友當起","#異性 #異性 #找共度餘生的另一半 可先從朋友當起Penny-更新了 -
之前沒講清楚是我的錯導致一堆可悲的萬年單身台蝻破防誤會我的意思
一切隨緣不勉強 單純交友也可以～
自我介紹
年齡：28
身高：163
體重：50
MBTI:ISFJ
地區：雙北（北漂高雄人）
外表：素顏皮膚白 皮膚沒什麼瑕疵/大眼睛雙眼皮/鼻子算好看 不需要整形的那種/牙齒整齊/黑長直頭髮/無刺青/穿搭風格偏日系或氣質淑女風（可私訊交換照片）
一個禮拜兩至三次的運動習慣（去健身房）

職業：醫療業（年收70-80 穩定的工作、無負債、家裡也沒負債、不需給孝親費）
個性：隨和 情緒穩定 不公主 比較黏另一半 會給另一半情緒價值 包容另一半 有耐心 愛撒嬌 有分享欲
感情觀：喜歡有不高興不滿直接說清楚 不會生悶氣 吵架不要吵到隔夜！共同釐清吵架的原因
想結婚但不想生小孩，想法是不會改變的，比較重視生活品質，不要嘗試說服我～
興趣：旅遊、看展覽、看電影、逛街、逛市集、吃美食/甜點、探店、拍照、追星（但不過分）
喜歡KPOP跟JPOP、偶爾會看動漫～

希望你
地區一樣雙北最遠可到新竹（不喜歡遠距離）
學歷：不拘
年齡：25-38
外表 ：身高168以上 體態正常 不要過胖或過瘦 身體要健康 
外表乾淨順眼會打理好自己 不要邋遢  身上不可以有奇怪的體味或狐臭 不能有口臭 不要有禿頭
尊重我的興趣 可以陪我一起完成那就更好～
經濟能力：年收100以上 大方 不小氣 不斤斤計較（🌟不AA,喜歡互相照顧互請互相送禮的感覺、出國出去玩之類的大筆錢可AA）
🌟有車有房佳但不是必備條件（希望以後一起搬出去住，沒房可一起租房，反正婚後不跟公婆同住）家中無負債，父母可以養得活自己不需給孝親費。

個性：情緒穩定 不可以愛發脾氣 好溝通
心情不好的時候能接住我情緒 誠實 對感情忠誠
有上進心 有責任感 守信用  有分享欲 能給我安全感
對異性有邊界感
無抽菸喝酒檳榔的壞習慣 黃賭毒不碰
無不良感情史
我大多數是週休二日 希望你也是
假日可以一起出門玩 （不宅，喜歡假日出門）

有符合條件者可以私訊認識 交換照片
可以先從朋友當起慢慢認識",""
"1779465264-7","https://www.dcard.tw/f/partner_selection_criteria/p/260626578","#同性 #同性 尋找有緣人","#同性 #同性 尋找有緣人S🦈追蹤1 月 7 日 22:58【自我介紹】
年齡：18（大一）
身高體重：172/65
職業：學生
個性：內向 、隨和
興趣：看電影、小說、追劇
角色：0(無經驗）
出沒地點：嘉義、高雄
 
母胎單身🥲 希望找個能互相分享心事的另一半 <img alt=""sticker"" loading=""lazy"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%"" srcSet=""https://megapx-assets.dcard.tw/images/764ff643-b618-4691-8e8b-7646a4d86e2d/160.webp 1x, https://megapx-assets.dcard.tw/images/764ff643-b618-4691-8e8b-7646a4d86e2d/320.webp 2x"" src=""https://megapx-assets.dcard.tw/images/764ff643-b618-4691-8e8b-7646a4d86e2d/320.webp""/>

【擇偶條件】
年齡：18～22
身高體重：希望比我高就好🥹
個性：我是一個內向內心較敏感的人 希望能遇到一個比較外向的人

第一次在版上發文 希望能找到有緣人 交個朋友也可以 然後怕被認出來 可以私訊交換照片","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779465270-8","https://www.dcard.tw/f/partner_selection_criteria/p/260355373","#異性 #射手座 #交往為前提 #認真 #北部 #中部 #見面派 #高個 （更）","#異性 #射手座 #交往為前提 #認真 #北部 #中部 #見面派 #高個 （更）Ernest 愛&幸福丘比特很佩服用卡稱發徵友文的人，很久以前有發文過，也很感謝曾經聊過的人，這次再來看看生日前能否遇到緣分

收到很多私訊，也感謝曾經互動過的人
不過還是強調以下幾點：
1.以交往為前提認識、認真聊天，而非留言或私訊後久沒回應，不浪費彼此的時間
2.我的自介不太清楚的部分可以補充，也麻煩妳撥空自介一下跟分享照片
3.聊天分享式是理想，彼此都有分享慾才做得到，初步在了解時，還是會透過問答的方式，如果不習慣也請妳多介紹自己或多分享，我也會很樂意分享我的生活

附上上週揪人去爬台北大縱走，山友幫拍的美照XD關於我：
身材：190公分/78公斤，健康體態
外表：如圖，平常上班戴眼鏡，放假出去玩帶隱眼
年齡：36
地區：北部
個性：有耐心、願意溝通、成熟穩重
MBTI：ENTJ喜歡規劃，但也可以說走就走
工作：HR，負責處理公司內部人事業務，準時上下班
家庭：背景單純，跟家人關係良好，像朋友一般，本身非常喜歡小孩
信仰：一般道教拿香拜拜
飲食：不能吃牛羊、口味偏輕淡，其他蠻不挑食，偶爾會吃異國料理

興趣：
🧚揪活動-剛好自己有興趣的活動，會上迪卡或其他平台揪人一起參與
🃏熱愛桌遊-收藏應該有超過200套，陣營、派對、輕策為主，之前都會揪人去桌遊店玩，未來希望能和妳在家玩桌遊享受2人時光，或找好朋友一起同樂
⛰️爬山入門-目前正在走台北大縱走，也有走過郊山，明年希望能爬中級山及挑戰百岳，持續練習中
🏊‍♀️水上活動-曾游過日月潭、台東活水湖、基隆和平島水池，未來會接觸衝浪及潛水
🏀球類運動-以前打過籃球校隊，近幾年接觸匹克球和壁球，有機會可以帶著妳一起體驗
🍳下廚嗜好-放假會簡單煮東西，能和妳一起下廚的時光，肯定很美好
🎷樂器吹奏-學過薩克斯風和口琴，已很久沒碰了，最近偶爾吹吹口琴，未來會再重拾這項興趣
🎨喜好看展-喜歡看燈飾、裝置藝術相關展覽，也不排斥看美術展
🎬輕鬆追劇-蠻喜歡懸疑推理、政治鬥爭、犯罪案情、愛情喜劇類型的劇情
🤖動漫角色-哆啦A夢（最❤️）、名偵探柯南、鬼滅之刃、蠟筆小新

希望妳：
身材：身高不拘，最萌身高差也OK，健康體態
外表：私訊提供照片
年齡：比我小就好
地區：北部為主，中部亦可(因老家在中部)
個性：情緒穩定、願意溝通
工作：正職穩定工作(非派遣、定期契約類)
家庭：背景單純，跟家人關係良好，未來有生育計劃
興趣：不限，如果有共同興趣更好，如果沒有，我也很願意和妳培養共同興趣，或陪妳一起做喜歡的事
信仰：可以拿香拜拜

感謝妳看完長串的文字，再麻煩有興趣的妳，花點寶貴的時間，簡單私訊自介和提供照片，我會很認真回應，也希望妳能常回訊息，如果彼此沒有眼緣或聊不來，也祝福妳能找到合適對象，本身屬於見面派，初步聊得來，可以約實際見面比較真實，無法接受線上聊很久(會太乾)，也比較不耽誤彼此的時間

🙋常被問的問題：
1.揪/辦這麼多活動，怎麼還單身?
活動只是多認識新朋友，剛好都沒有投緣，並非一定能脫單

2.活動這麼多、認識這麼多人，會不會重心不在另一半身上?
單身期間努力嘗試拓展交友圈，一旦有交往對象，會調整自己的模式，減少活動頻率，花時間陪另一半

◎其他有想到再補充囉~
<img alt=""sticker"" loading=""lazy"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%"" srcSet=""https://megapx-assets.dcard.tw/images/764ff643-b618-4691-8e8b-7646a4d86e2d/160.webp 1x, https://megapx-assets.dcard.tw/images/764ff643-b618-4691-8e8b-7646a4d86e2d/320.webp 2x"" src=""https://megapx-assets.dcard.tw/images/764ff643-b618-4691-8e8b-7646a4d86e2d/320.webp""/>射手座交友單身異性徵友",""
"1779465275-9","https://www.dcard.tw/f/partner_selection_criteria/p/260626678","#異性 #對的人 #北部 #中部 #見面派 認真交往","#異性 #對的人 #北部 #中部 #見面派 認真交往Ernest 愛&幸福丘比特至上次發文已超過一個月，很感謝這段時間密我的人，在這期間有見過面，但好像還沒有很合適的，在跨年時吃了葡萄許願，雖然沒有全部吃完，但心誠則靈，今年年初來發文看看
擇偶條件板Ernest 愛&幸福丘比特25/11/27#異性 #射手座 #交往為前提 #認真 #北部 #中部 #見面派 #高個 （更）很佩服用卡稱發徵友文的人，很久以前有發文過，也很感謝曾經聊過的人，這次再來看看生日前能否遇到緣分，收到很多私訊，也感謝曾經互動過的人，不過還是強調以下幾點：1.以交往為前提認識、認真聊天，而非留言或私
個人介紹和理想條件，在前一篇有寫了很多，想補充一下：
1.非常非常喜歡小孩，如果遇到不生育的可能沒辦法
2.生活隨興但很注重誠信原則，想認真認識再來私訊，不要傳訊了愛回不回或密了消失
3.有的人會討厭問答式的聊天覺得很像面試，但如果一開始不透過問答找交集，除非很會聊天(但我不是)，我屬於分享慾強，但也希望對方給予回應，期待妳願意分享關於妳的興趣、喜好、生活等等
4.傳訊時請主動分享生活照，好讓彼此認識
5.屬於見面派，希望初步聊得來，在短時間相約碰面，看看彼此有沒有眼緣，可以安排面吃飯或從事彼此都有興趣的事情

分享近期會做的事：
1.跟山友揪團爬中級山、郊山，參加野溪溫泉團
2.持續揪人從事球類運動及玩桌遊
3.學習鑽研塔羅牌，了解占卜相關知識

希望能持續培養多元興趣、豐富生活感情單身徵友交往擇偶",""
"1779465280-10","https://www.dcard.tw/f/partner_selection_criteria/p/260627402","#異性 徵單身異性男（私訊爆了，嚇）（不會再收私訊🙏）","#異性 徵單身異性男（私訊爆了，嚇）（不會再收私訊🙏）N小隻最後更🤣
我沒有想要小說連載，也沒有預料會變成這樣，好想刪文，只是想補充給各位異性朋友

人數真的很多，會收斂到50內，最後到5
到5會考慮見面，看相處感覺
穩聊再加line（下面有寫加line的問題了）

我會開車/騎車/坐車，挑中間地公共空間見面就好這年頭男生女生都要保護自己，還不想被知道地址

#為什麼打這麼多字？
我不是搏版面，這是我真實人生經歷
不知道各位如何看待人生，人生有厚度/深度/長度
你來不及參與我的過去，我只是想要真誠的告知何種經歷造就了我，謝謝感興趣的人，希望找到想參與我的未來的人而已🙏🙏🙏

我都有盡力回覆，也真的有遇到
有趣的聊天內容
令人感興趣的人生經歷
印象深刻的外型
幽默的回應
（也有認識的人，真的社死）

感情沒有對錯，都是緣分，也都祝福各位🙏

-------------------
再再更！！！

現在是1/9 20:22今天沒加班

私訊的每一位我都回覆了！
最恐怖的事就是真的有認識的，我不想被全台灣知道我在徵男友🤣🤣🤣🤣
而且這樣很像另類加班，應該有超過200個好恐怖，我沒有美若天仙🤣🤣🤣，有徵到是緣份沒徵到也是，不想再開了，壓力好大🤣🤣🤣

後面會開始告知刪除原因，也有人很誠實直接說想約砲，不好意思無法接受🙏

需要自介！！很需要！！！我這麼有誠意了你介紹一下自己嘛～～
很清楚自己個性/喜好/優缺點絕對是加分
再來就是眼緣了（下面有提過了）
我的空閒時間短少，要做的事太多，請尊重我的選擇🙏🙏🙏

祝福每一位都能遇到自己喜歡的對象🙏🙏🙏

------------------
再更

各位！！！
我沒有想要紅，聽說上熱門，沒有這麼誇張🤣🤣

補充常被問的問題

為什麼是大善人＞畢業後告白兩次都被拒絕，我會觀察一個人很久，品行/談吐/個性/責任感/聰明/善良/幽默感（爸爸脾氣不行其他頂頂，所以起點是我爸🤣🤣🤣），三觀不行其他一概不可能
但是我的狀況不是誰都接受

我的哥們和朋友知道我的狀況都勸我放棄，但是我責任感比較重還是跳進來了，我爸把我逼很緊，因為他沒有兒子🤣🤣🤣🤣打架我也不可能贏

你不用跟我一起，每個人有每個人的自由和選擇，我希望你接受並支持就好

吃素嗎？＞沒有吃全素，會吃肉，就是挑食壞小孩而已，菜要吃很多，不喜歡蛋，個人覺得臭🤣🤣🤣不用跟我一樣不要逼我就好


巨蟹座？＞對！！！所以小劇場很多請給我安全感

曾經跟老闆去海外駐點，協助設計/施工，男性在海外的花天酒地畫面都見識過（我老闆也都很坦蕩，只是廠商不敢再見我）所以曾經荒唐或不願安定下來的都請誠實，謊言不被容許

沒有想過會這麼多訊息，人一多就會有比較🙏🙏🙏直接解釋流程，和給各位的建議，祝福大家覓得良緣

下面有寫到公平了，所以，每個人我都會回覆，後面會開始篩選
我自介有努力寫清楚＞也希望收到詳細的自介

有詳細的介紹我都有直接傳照片，不詳細的我有請你傳照片，有傳照片我就會傳照片

我知道很多人可能送完照片就沒有消息觀感很差，所以我一定會回傳
我媽從小喜歡說我醜，五年級生們觀念不能稱讚小孩不然會驕傲，所以我從來沒有覺得自己是大美女，也是認真保養認真學化妝

突然很多人說我漂亮，謝謝大家，你們是我開心的來源覺得自信+10000

相片是一個篩選機制，不要吝嗇你的笑容，那是一個門面，如果我蓬頭垢面你們也會不想認識，就算你今天拍一張新照片也沒關係，反正我訊息回不完，請拿出吸引力，自信/開心/笑容讓人想更了解你和內在，不是一定要帥哥就是魅力，請相信自己獨一無二並且一直在進步

會繼續補相片，如果自介有寫的內容可能不會回覆，罰你看十遍，我很感謝大家垂青，謝謝大家

p.s 星期六也要上班，因為住家都要星期六送貨
p.s 除非穩聊，不然不換Line，不會為誰開先例，我的Line 已經一堆工班和客戶，不想回憶你是信義路還是基隆路，是床還是書櫃，所以……，對，原則問題

更------
謝謝各位大善人，我沒有一次接觸這麼多異性過，嚇死偶惹

還有我踩了一個大坑，家具業最怕就是過年，什麼東西大家都趕過年，我才剛下班但是明天要出貨，所以我一定回不完，早上遲到會被師傅電死，因為現場只能做到五點，所以對不起不要催我🙏🙏🙏
（工廠每天加班到9.30，晚上是晚上！！，中午吃飯一小時，沒有收到私訊回覆不是你的問題，真的是我來不及）

我不是仙女或美女，只是很認真生活而已，什麼事我都想全力以赴，盡量嘗試所有可能，裝修師傅們都說我是二千金，但我沒有覺得，希望你也是努力積極面對生活
人家是豪宅，我是好窄，
人家富二代，我是負二代
人家千金，我是千斤（頂）

我不是抱怨，每個人都有自己的辛苦和難處，我也希望我家不小心被我撞出血路，只是我還找不到

因為材質特性（還有需要💵）我們傢俱的機器自動參與度很低，需要很多人工的部分，今天跟皇太后（老闆娘）吵架，什麼都亂壓時間根本來不及
（平常脾氣好的人生氣很可怕的！！！會像生氣的吉娃娃會咬人喔！！！！）（我的產品都是我的血汗🥲）

大家都是成年人，加幾件事

1.我感謝我的家庭，也感謝我的土地，說甚麼回歸還是統一的，尊重但不接受
2.以前沒有覺得會有這件事，但是三十了突然發現開車很重要（？！）（對另外一種車）
如果你體力不行，那可能現在可以開始練習（？
但是，我也不是凹凸有致或是波濤洶湧，只是年紀到了發現還是會渴望溫度（？）
先這樣，謝謝大家耐心，🙇‍♀️🙇‍♀️🙇‍♀️

--------------------

〔關於我〕
年齡：1994/7
身高體重：152/ 48 嬌小的女漢子（看一下下面內容🙏）
座標：台北/北部
個性：情感細膩、喜歡思考、善良、熱心助人（吃苦耐勞？）
慢熟型，剛開始不熟會比較保持邊界（尤其是異性），重視真誠與交流的溫度，所以希望前期可以先保留一點耐心給我。🙏
熟了以後你會知道🫱該認真時很認真，善良，其實很搞笑（？）除了你好看的時候，更喜歡你醜的時候，就是那些只有我看得到的樣子🤣
女友屬性：狗型（？）

金錢觀：AB制，大家都是辛苦人，不想欠別人🤣，但是交往的話我是照顧人的類型

有人測過愛的五種語言嗎？
我的輸出是照顧（就是那種皮膚管理，吃穿用度都替你著想的那種）
需求是肢體接觸（如果我不開心希望你把我抓過來抱緊，大概想像就是大狗狗這樣，這樣我就好80%了）和有品質的陪伴

感情史：2，大學畢業後就單身（身邊都是大15.20歲的人）

#這邊是重點
先說，我是建築系畢業，建築系就是一個吃苦耐勞的科系（所以拆水管換燈泡不是問題😂）原本是從事室內設計/裝修在工作室、事務所、顧問公司待過，後來爸爸車禍飛走了所以回家幫忙，我家是家具工廠。

工廠目前計畫是走向收場，故事太長真的想知道我們細聊，總之我是校長兼撞鐘，公司的文書處理，工廠的生產，開貨車，到後來，架新網站，AI，N8N，NAS，DOCKER，comfyui，反正我只要覺得有幫助我就都去做
我很感謝我家工廠讓我長大，不過環境影響，開銷，媽媽的身體健康狀況，請人，等等讓我覺得我們勢必會走向結束，只是希望讓公司的資產價值能夠，有機會找到其他能延續或知道如何運用的人繼續下去

我目前存款狀況偏低，因為大量投入公司了🙏會慢慢往健康方向發展，請給我一點時間

出生的時候不吃葷食，目前是海鮮和雞蛋是大忌，拜託不要吃海鮮吃到飽😭跟我吃飯很難搞，我真的知道，但是跟我吃飯不貴（？？？？）（最喜歡地瓜葉）

【擇偶條件】
性別：男（單身！！！）
年齡：+-5
身高體重：希望是比我高，身體健康，BMI正常。
個性：活潑開朗、分享慾強、跟異性界線感強。
工作：穩定收入，能自給自足，然後不介意我的狀況🙏🙏🙏

工作的時候可能不會馬上回訊息，因為開車或在工廠，手機不會一直在身上，但是看到訊息會句句有回應，廢文，梗圖，小貓小狗都可以，希望有互動


貼上補充

嗨嗨各位好，謝謝大善人來信
沒有一次和這麼多人認識過，訊息回的慢，不好意思🙏🙏🙏
會關閉私訊有點太多了

沒有要“送”工廠，我們對品質有嚴格要求，是業界頂尖龜毛，設計生產運送一條龍，所以才累死自己人
我爸白手起家，他的辛苦我最知道，沒有這麼容易
但是也導致龐大債務

不喜歡交友軟體，因為在上面的人感覺像商品，每個人是獨一無二的，所以我跟人相處要花很多時間，不會馬上見面，也不會馬上確認關係，因為不清楚品行如何
如果很急的話可以跟別人聊～大家公開平等
姐姐覓得良人，每天放閃，才決定務實找人

很要求公平跟尊重
你請我，我就會請你
你送我，我就會送你
你有付出我就有回饋，大家要公平
（我也會主動，不是一定要你先啦只是舉例）
自己母愛氾濫相信我會是好媽媽，但是孝親不能外包，我會尊重照顧你的父母，愛屋及烏，因為有他們才有今天的你，但是你該負起的責任自己要負擔
補充一下
希望你不抽菸👍
抽菸真的不行，所有東西都是煙味，因為我爸過世後房間的煙味還是無法消散，太可怕了

p.s 希望換照片，原因很簡單，不想遇到認識的🤣🤣🤣如果我們當初沒緣份現在應該也不會有🤣🤣🤣除非當時我暗戀你（？？？？應該不可能）異性徵單身感情男友","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-female)"
