web_scraper_order,web_scraper_start_url,title,content,author_or_gender_area
"1779462316-1","https://www.dcard.tw/f/partner_selection_criteria/p/260875274","#異性 尋找能一起進步分享生活的妳","#異性 尋找能一起進步分享生活的妳MTH追蹤2 月 14 日 18:05［自我介紹］
年齡：25
身高體重：172/58
座標：新竹
學歷：頂大碩畢
職業：工程師
年薪：150+
興趣： 健身、跑步、旅遊、、打遊戲、探店吃好吃的
個性： 幽默、開朗、溫和、大方、私底下會撒嬌
家境：小康、家庭關係融洽
平常生活工作健身三點一線，工作關係很少機會可以認識異性，因此趁情人節上來發文看看能不能遇到另外一半
［希望妳］
年齡：22-28
身高體重：體態正常
地區：不拘（不排斥遠距離）
個性：善良、不公主、有同理心
興趣：不拘，可以一起培養
加分：有運動習慣、有自己的目標
有興趣認識的可以私訊，希望有簡單的自我介紹～
祝大家情人節快樂、新年快樂！","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779462321-2","https://www.dcard.tw/f/partner_selection_criteria/p/260875409","#同性 partner","#同性 partnerK🤍追蹤2 月 14 日 18:40 (已編輯)地點：桃竹
年齡：36
外型：160/48、H
工作：行政
個性&喜歡：直接、樂觀、包容度高、獨立、老歌、單板、旅行都是為了好吃的，去年出國四次，小旅行數不了

希望你
36以上、160-163、獨立、H、可以很任性但不能不溝通喔、Fine dining 女孩先pass🤍興趣不用一樣，但靈魂要有重疊，因為我們都是自由的。

五官合，三觀才能磨合。請直接私訊照片 😂","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-female)"
"1779462327-3","https://www.dcard.tw/f/partner_selection_criteria/p/260875482","#異性 徵求一名女房客兼女夥伴 買過路過可以錯過","#異性 徵求一名女房客兼女夥伴 買過路過可以錯過雷松然追蹤3 月 1 日 15:19 (已編輯)買過路過可以錯過
貨比三家不吃虧


身高：173 
體重：75 
地區：中南部
職業:自營
年紀：30-35
生活:不菸不酒不濱不刺青(怕痛)  不賭
出門不穿拖鞋
走路不搖頭晃腦
打遊戲 收集公仔

個性:隨意 很隨意 極度隨意

喜愛藝人：
 日 岡田准一 一人劇團 橋本環奈(顏藝系)
 美 帕西諾 羅伯特 金凱瑞 李奴(有故事的老派演員） 
中 喜人團 徐志勝 (喜劇類)

音樂:
中文:雙周.流行 翻唱歌手..等.
韓:big.IVE、(G)I-DLE(會看演唱會)
英:艾德 Taylor Bruno(經典都聽) 
配樂:p5 進巨(明年想去看現場) 古典樂(協奏曲)

優點:
1.我曾經中了 我家貓貓的 還我喵喵掌 他跟我說50年內我必死
對小孩還好 家裡也沒其他人了
所以我死後遺產歸你
2.會不同類型歌曲音域比較寬 你閉上眼 我能變成這種歌手
3.不用做家事 我會請人打掃(叫別人無償幫我做事 我ㄟ拍謝)
4.不用擔心 我是海王或是花錢性需要 
因為呢 我覺得男女平等 為啥我要花錢花體力又不一定快樂呢 跟我天生短人一寸 怕被笑 哈哈

缺點:
1.對家概念很模糊 可能我爸走後 就不會再回老家了 家裡長輩也是等藥包白包才會看到了
2.水象星座 每天的性格隨心情而定(但基本的還是會)
3.生活抹平了 很多菱角 對許多事物並沒有很熱情
4.應該還有 盲入如我 等你來發掘

金錢:
自營 收入還算可
剩車貸跟基本學貸 大約50-70之間 2年內就沒啥壓力了
想富養自己 旅遊或吃喝的比重 會比較大

談吐： 除了美容美髮類的 基本都能談上幾句 特愛迷案 史觀 …等冷門 冷知識
我知識王打到130級吧


房屋基本資料 
住戶:一人(我本人)
房型格局：2房2廳2衛
室內坪數：約42坪
管理費：1元
家具家電：冷氣、冰箱x2、電視、沙發、床組不全、微波爐、
ktv全套組 k歌歡唱兩不誤
車位：附贈一個車位
內附生物 :貓咪、守宮

房屋特色亮點
採光良好、動線流暢，空間分配舒適
一樓景觀戶，俯瞰鄉村綠意與夜景，鬧中取靜
可微型創業美甲 團購 等打發時間

全配家電入住即享受，輕鬆拎包入住
交通便捷：近學區商圈、7-11全家都有、
生活機能不強：超市、餐飲、學區、診所

適合對象:
成熟獨立女性

其他:
嘟嘟嚕 這一切都是命運石之門的選擇
希望我的替身使者 能吸引到你
在幹話的路上 有你有我
被嫌醜只能汪汪叫
我像條狗真好笑",""
"1779462333-4","https://www.dcard.tw/f/partner_selection_criteria/p/260876149","#異性 #高雄#今天說不定能找到自己的緣分？","#異性 #高雄#今天說不定能找到自己的緣分？YY追蹤2 月 19 日 14:37 (已編輯)之前有來徵過，今天情人節來應景找找看緣分（？

關於我
	•	1991 / 男/巨蟹座
	•	身高 173、戒菸胖了10公斤胖到90公斤，現在又減到了75公斤，還在努力中把自己慢慢更好
	•	工作：電信，之後會改輪班
	•	居住地：高雄
	•	個性：非常悶騷，只在熟的人面前展現自己，其他時候是營業模式，典型的人前一個樣人後一個樣
	•	興趣：動漫、塔羅、旅遊、聊天、散步、電競、健身
健身新手，目前練3-4天休1，已持續2個月，希望能讓自己體脂降到20%以下為短期目標
目前最大的樂趣就是每天早上0900-1330看股票把😆😆😆
	•	去年挑戰自己看了音樂會還有去北海道獨旅

今年比較自豪事情就是戒了20年的煙癮，然後不進廚房的人考了一張中餐證照，目前在進修日文，希望能有更好的發展

基本上我不太喜歡爭執，尤其我不喜歡說服一個人，我會選擇去尊重對方想法然後慢慢試著理解，真的不能我才會提出來，不喜歡把對方塑造成自己喜歡的樣子，而是彼此互相了解自動磨合

關於妳
	•	年齡都可以，但我覺得相處來比較重要
	•	價值觀差不多
	•	也在南部地區，我可以在南部甚至重頭來過沒問題
	•	跟我差不多的興趣，尤其喜歡動漫電玩最棒了XD
	•	身高體重倒還好，我覺得注重自己健康就好，然後也是愛健身～
	•	再來就是對自己的父母要孝順
      希望你也想結婚有自己的小孩
最後希望你也是排班的，因為我不希望我的排班讓我們的相聚時間變少，這樣我會內疚🥲

其他的慢慢了解吧～總之希望可以先站內信交換聯絡方式，可以之後再換真相

謝謝大家祝大家也有好緣分～
放下半真相😆","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779462338-5","https://www.dcard.tw/f/partner_selection_criteria/p/260876243","#異性 #異性 找同頻人生隊友 #從朋友開始吧","#異性 #異性 找同頻人生隊友 #從朋友開始吧HHC追蹤2 月 14 日 21:29【關於我】
年齡：34
身高體重：175/BMI正常
外貌：中長髮，偏好簡約風格
座標：台南、高雄（多為南部生活圈）
工作：行政領域（協調者角色）
性格：生活圈單純、內斂真誠、坦率灑脫

【期待的你】
成熟度：年齡偏好 -2~+5，希望你也有穩定正當職業、務實健康的價值觀，以及獨立承擔責任的能力
關於並肩：偏好至少差不多身高能平視彼此的物理視野，若有能稍微仰頭看的機會，那更好🫣
關於生活：乾淨整潔、對健康有堅持及有運動習慣
關於共處：情緒穩定、能讀懂彼此的幽默、有溝通的意願
家庭觀念：珍惜與家人的連結、能平衡原生家庭與個人生活，也能理解彼此價值觀差異
情感狀態：法律與生活意義上的單身，無複雜感情糾葛

希望在平凡的瑣事裡，我們能自然的交流，期待認識認真對待感情、成熟穩重的你，交換彼此對生活目標的看法

手抖的打完這篇文，若有興趣歡迎私訊，除了簡單自我介紹，也聊聊如果今天有個小假期，你會是怎麼安排度過的吧？先祝你各位新年勝舊年！所得皆所期，所遇皆美好，新年快樂辣 :)","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-female)"
"1779462344-6","https://www.dcard.tw/f/partner_selection_criteria/p/260876739","#異性 工程師 情人節勇敢一次🌹（新竹北北桃）","#異性 工程師 情人節勇敢一次🌹（新竹北北桃）P好耶追蹤2 月 16 日 15:04 (已編輯)對的 情人節出門看到路上來來往往
覺得自己好像可以勇敢一次嗎

認識我的不要認我我會害羞哈哈哈

📍自我介紹

年齡：29
座標：桃園長大，新竹工作，新北買房（之後想回新北！）
身高體重：168.3 / 63 / 體脂 ~15（這行沒亂加水剛體檢完誠實面對自己 ._.）
外型：

- 約會重要日子會戴隱眼、抓頭髮、上很淡的粉底遮瑕、畫眉毛、香水（學生時期有參加過注重儀態的社團）
- 長期擦保濕、防曬、酸類、定期修眉
- 有小練 1 年多，1 週 1-2 練維持體態，今年希望可以練出腹肌，目標希望可以成為網路上的薄肌圖

宗教信仰：心誠則靈尊重所有宗教信仰派
感情：2 任（一任 2 年、一任 4 年）
學歷：清交電資碩畢
職業：市值全球前 10 大工程師（不太需要輪班）
薪水：200+
個性：

偏 I，不過不會亂句點，會講幹話，到新環境敢主動跟別人講話。
沒有覺得因為我是工程師所以個性就應該怎麼樣，從大學就很努力探索撕掉工程師的標籤自己還可以是怎麼樣的人這件事情！

優點：

- 細心、共情、同理：跟參加的社團有點相關，應該還算細心能夠共情還有同理別人的人
- 禮貌、善良：對於身邊的人應對進退應該是有禮貌的，覺得自己應該算善良的人類(？
- 儀式感：重要節日會主動寫卡片（常備信紙）、喜歡一起過重要的節日（情人節、在一起的日子、聖誕節、新年）、有送過玫瑰花然後一起做成乾燥花🌹
- 重感情：有從很小到大一直留著的物品
- 有目標明確且長期耕耘的專業領域：現在的專業領域是從國中自己很明確決定且很喜歡的領域，一路到研究所、工作一直在耕耘這個專業領域（也有一些拿過一些全國性的獎項）。
- 願意學習、接觸新事物

一些最近具體的例子

1. 到新環境，會怕垃圾沒有分類造成打掃大姐困擾，主動詢問怎麼分類，不希望造成別人困擾。見到面也會跟大姐打招呼、大姐也會主動關心我上班適不適應。
2. 垃圾不小心丟到公廁垃圾桶的縫隙後面，能夠想到如果沒有撿起來就是另外一個人需要去幫我撿起來，拿另外一張衛生紙撿起然後把手洗乾淨。
3. 朋友講電話的時候另一隻手拿著剛剛幫忙下車買的食物、找的零錢跟錢包，幫忙對方把手機以外的東西先拿過來讓他方便講電話。
4. 看到路人來參觀，能觀察到是同一個團體，主動詢問需不需要幫忙拍照。

興趣：

🍗 吃好吃的

新竹美食沙漠，不過沙漠還是有水源的（？
雖然每次偷偷跑回新北還是可以找到無情秒殺新竹的食物 QQ

💪 一點點運動

接觸健身大概一年多，一週 1-2 練，小小練希望可以維持體態
跑過半馬x1

🎵 音樂

單純就喜歡聽，有一台 Marshall Stanmore II

📖 看紙本書

從小就很喜歡看課外書
雖然長大陸續很忙，看得很慢，不過從國中就有閱讀的習慣
最近正在看的是侯文詠的新書＜變成自己想望的大人＞
有買到親筆簽名的首刷很開心！

🌟希望妳
年齡：<= 30
身高：不限（妳沒差我就沒差哈哈）
外型：體態正常
學歷：不限（跟我自己生長背景有關，從小就沒有很會讀書，詳細可以私訊）
職業：正當工作即可，老師加分
個性：溫柔，偏好有氣質的女生
興趣：希望可以有自己的興趣、喜歡的事情，我也很願意學習、參與對方的興趣
座標：新竹雙北上下
會介意的事情：

- 感情觀：希望沒有劈腿過、沒有藕斷絲連的前任、約砲過、複雜的異性交友圈（我也沒）
- 習慣：希望不菸不酗酒（我也沒）
- 大面積刺青，抱歉這是我的問題 QQ（點綴一朵花、一句有意義的話那種沒問題）

第一次發文稍微列一下，兩任前任風格差異很大，除了會介意的事情以外，沒有一定要求怎麼樣，以相處起來的感覺為主！

祝福大家新年一切平安順心 :)<img alt=""sticker"" loading=""lazy"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%"" srcSet=""https://megapx-assets.dcard.tw/images/3f7768f6-a4ca-4d52-97dd-d03252a13673/160.webp 1x, https://megapx-assets.dcard.tw/images/3f7768f6-a4ca-4d52-97dd-d03252a13673/320.webp 2x"" src=""https://megapx-assets.dcard.tw/images/3f7768f6-a4ca-4d52-97dd-d03252a13673/320.webp""/>","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779462349-7","https://www.dcard.tw/f/partner_selection_criteria/p/260877033","#同性 中部徵友PPL 男性 詐騙 勿擾","#同性 中部徵友PPL 男性 詐騙 勿擾Bbtifu追蹤2 月 14 日 23:39年紀：33～38
工作：經濟穩定（中部地區）
身高：16+
第一次發文徵友～希望能遇到同頻的朋友當然不排斥發展到另一個階段～
自認沒有不良嗜好，動靜皆宜
喜歡旅遊喜歡團體生活也很獨立
習慣自己消化情緒會暫時關機自己再重新開機～
很成熟也可以很幼稚～有時很E有時又很I
朋友常說臉看起來很冰冷認識後是個瘋婆子？
謝謝讚美^^
其它可以聊聊天多認識

希望妳：
年紀：33～38
中部地區
長髮個性女性化～太man的只能當兄弟
無不良嗜好～
工作穩定要養得起自己有存款無負債
有理財的觀念
有點顏控～希望能附上照片
有眼緣當然也會附上自己的照片的
說了一堆還是希望遇到聊得來同頻的人

不一定會馬上回覆有時工作比較忙碌一點
總之很高興認識妳喲～～","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-female)"
"1779462354-8","https://www.dcard.tw/f/partner_selection_criteria/p/260877158","#異性 #徵長期隊友","#異性 #徵長期隊友S洗衣煮飯小迷妹追蹤2 月 15 日 09:10 (已編輯)更新資訊一下 
不好意思由於訊息有點多 如果沒有寫自介或沒有禮貌或不符合就不會回囉，謝謝大家🥺

【關於我】
• 1996年生
• 星座/MBTI: 處女座/INFJ
• 身高/體重：161/53
•長相：普通 偶爾被說可愛、牙齒整齊
• 個性：心思細膩、獨立、專一、小幽默、隨和但對自己的事很有主見、慢熟
• 興趣：聽音樂、唱歌（五音不全但很愛唱🤣）、追劇、睡前看書、喜歡旅遊、走路、運動
• 職業：辦公室上班族（年收80）
• 感情經歷：兩任
• 經常出沒地點：雙北為主

生活圈非常的單調，真的是一個普通人 
希望能遇到一位可以互相陪伴以及成長的好夥伴！

【希望你】
•年紀不要跟我差太多（27-33之間佳），但如果願意聊聊也不排斥
•長相普通順眼就好，牙齒不能太亂不能留長指甲
•位於北北基桃佳（不喜歡遠距離 我會沒安全感）
•不抽煙不吃檳榔，小酌可以（酗酒不行）
•有好的衛生習慣
•身高168以上（含）想要可以靠在肩上～
•收入要跟我一樣或比我高
•專情、有禮貌、品性良好、願意溝通、願意為彼此花心思的人
•希望能有機車或汽車
•能夠接受先穩聊一段時間，了解彼此後再約見面

如果有認為可以認識看看的朋友，再麻煩留下自我介紹或私訊我～我們再聊聊認識看看(⁎⁍̴̛ᴗ⁍̴̛⁎)

以上～謝謝看到這裡的各位卡友
祝大家新年快樂、刮刮樂都會中獎！","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-female)"
"1779462360-9","https://www.dcard.tw/f/partner_selection_criteria/p/260877184","#異性 台北工程師找個好隊友","#異性 台北工程師找個好隊友C嘎嘎追蹤2 月 15 日 00:04新年快樂
希望新的一年可以有好的開始
這連假希望能揪個台北聊天^^

35y｜173
工程師，在大型企業做研發。

喜歡兜兜風看看風景
看著大海吹著海風
真的很放鬆

#喜歡羽球、桌球、游泳、釣魚
#電影院 #Netflix、美劇、歷史紀錄片
#喜歡閱讀、藝文展覽 特別喜歡歷史人文
#吃海鮮美食、甜點

這幾年把重心放在提升自己，
不只專業，也包含資產規劃與生活品質。

未來計畫置產海外海景房與台北

嚮往有孩子的生活。
重要的時刻，我會準備好，
讓家人不需要為現實擔心。

如果妳也想往更好的生活走，
可以來認識看看。

歡迎私訊，互相交換個照片

希望妳：
32y以下，喜歡小孩 (月子中心等費用不用擔心)","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779462365-10","https://www.dcard.tw/f/partner_selection_criteria/p/260877624","#異性 #異性 走過路過有緣再進來看看👀","#異性 #異性 走過路過有緣再進來看看👀Iivory追蹤2 月 15 日 09:00 (已編輯)自我介紹👇
年齡：20
外貌：黑長直髮、乾淨、性感、氣質系（對於我來說什麼類型我都很配合🤣）、未來會想整形（可能不喜歡塑膠感的可以先排除我🥹）
個性：外向健談、樂觀正向、好相處、溫柔細心、愛笑、理性感性兼具，喜歡嘗試新事物興趣：吃美食、旅行、出國、拍照打卡、露營、戶外走走也喜歡在下雨天宅在家，一起打電動、看電影、追劇或小酌聊天，喜歡買一些精品與質感的東西
工作：正職穩定工作＋斜槓經營年收：穩70萬以上居住地：北部
其它：不約、不玩玩、不聊色，沒有認真想認識的請繞道備註：希望未來能結婚


期待未來的你👇
年齡：27–35 
身高：體態乾淨、順眼即可
個性：成熟、有責任感、會溝通、不消失
工作：穩定或有發展性
年收：希望至少與我相當或更好
地區：北部、桃園佳
加分項目：會照顧人、幽默感、愛旅行、懂生活不是完美，但願意一起成長","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-female)"
