web_scraper_order,web_scraper_start_url,title,content,author_or_gender_area
"1779459267-1","https://www.dcard.tw/f/partner_selection_criteria/p/261060220","#異性 #異性 #中部 找人生隊友","#異性 #異性 #中部 找人生隊友D小宇追蹤3 月 11 日 14:16［關於我］
身高：175cm
年紀：22
💰收入：賣水果（收入可以私訊了解~）
🏠家庭：小康，感情好，常常一起出去露營、吃飯。
🏋🏽‍♂️興趣：健身（一週5~6練，有在比賽）、球類運動（籃球排球最多）、露營、吃美食、旅遊
🎺特殊才藝：吹小號、吹長笛
✈️出國：日本、中國、香港、奧地利（學音樂）
☑️穿著風格-clean fit，之前有被女生朋友主動誇獎過穿得好看
☑️金錢觀：不會斤斤計較。
☑️無不良嗜好，不接觸黃賭毒。

個性：
☑️幽默但是懂得分寸，從來沒有結仇過。
☑️之前當健身教練，有異於常人的耐心且很會給情緒價值。
☑️情緒穩定，懂得溝通理性解決問題。

感情觀：

☑️可以接受有異性朋友，可能會好奇去問但是不會懷疑。
☑️有彼此的空間很重要！

想要認識生活圈以外的朋友，體驗不同的美食，聽一些沒聽過的故事，嘗試一些新事物 探索世界，期待能認識不同的你

如果覺得我們有機會認識，
歡迎私訊或留下簡單自我介紹，
可以交換照片","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779459273-2","https://www.dcard.tw/f/partner_selection_criteria/p/261061776","#異性 #中南部#可換照#徵從朋友發展看看","#異性 #中南部#可換照#徵從朋友發展看看CEnzu哈囉👋
年齡20～22 大學在讀中
座標：台中 高雄 
身高體重：172/52 
星座：金牛座 
mbti:intp 
興趣：追劇 看動漫 玩電腦 打一點羽球跟桌球 
優點：很有分享慾同時也很喜歡聽別人分享 還算會接話
個性：誠實 善良 網路上比較主動熱情一點 
感情史：0 
不菸不酒沒約過也沒嫖過 
===================================== 
理想中的妳 
希望妳是大學生 
希望妳喜歡分享生活大小事 
希望妳BMI不要過重 

可換照","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779459278-3","https://www.dcard.tw/f/partner_selection_criteria/p/261062041","#同性 #同性 徵友/徵另一半","#同性 #同性 徵友/徵另一半A長不高的矮子出社會一陣子
朋友圈已經定型了
想嘗試認識更多人（特別是圈內朋友）
看有沒有機會有其他發展
所以來發文試試看

---自介---
性別：生理男
年齡：27
身高：162
體重：50（有嘗試上健身房練身材）
長相：內雙 長相偏斯文（照片很上相，但本人與圖片不符）常被說看起來只有23~25
角色：0
出沒地點：彰化人(假日幾乎常跑台中)
學歷：科大本科畢業
感情狀態：尚未出櫃，家中非常傳統
有過一任，但只維持三個月
目前是住家裡（家人要求，另一部分希望我養的寵物不要一直換環境居住）
但已表明不會結婚生小孩
很熟的朋友基本上都知道我的性向
有幾位熟識的長輩也清楚

興趣： 
很偶爾健身、跑步，對打羽球有一點興趣
跟朋友出門基本上都去密室逃脫、劇本殺、吃飯、逛展、吃美食甜點居多
偶爾會做烘焙
會和朋友討論穿搭
會追星(kpop偶像idle是我本命，也很喜歡米津玄師)
也喜歡看影集（前陣子很瘋漫威）或是陸綜
會看動漫、漫畫、小說、cosplay、打遊戲(目前常玩FF14、崩鐵、闇影詩章)、會寫寫日記

個性： 
牡羊座 月亮：魔羯 上升：天蠍
INFJ人格（測了3~4次沒變過）
（分類帽測驗被丟到赫夫帕夫）
是個經歷任何活動都需要獨處時間充電的I人
常被說完全不像I
吃軟不吃硬，常被激（超衝動的牡羊
好親近，當剛認識會非常拘謹（需要被動開啟話題才會突然很E）
愛聊天 ，但很常這個話題聊一下，跳到其他話題又跑回上個話題（如果突然沒回覆，就是大腦沒電在充電了）
很怕尷尬、或起衝突的場合（腦袋會打結）
服務員點錯餐是沒關係我吃這個就好的那種人（常吃虧）
有社群強迫症（紅點點2天內會點完）
常常內心有小劇場（像是被罵完，優先內耗自己）

職業跟技能：
目前做餐廳，下班都快凌晨，因此活躍時間在下午晚上居多，對於很多事情都有好奇心，最近嘗試自學日文，本身有一堆奇怪技能雖然荒廢的差不多了，接觸過品酒、咖啡調製、吉他、影片剪輯後製

我有注意到的雷點：
喜歡在聊天時偶爾倒倒情緒垃圾
不擅長維權，極度沒主見（牆頭草）
個性很衝動
充電狀態會非常懶惰，不想出門不想思考不想社交
內耗自己是常態性被動（已調整過，現在不太會影響他人）

---擇偶條件--- 
年齡：23~33
身高：比我高
身材：普通身材（不喜胖）
長相： 順眼乾凈
角色：1/不分/side
職業：養的活自己就好~
出沒地點：不排斥異地
加分項： 
如果是宅男蠻加分的（接觸ACG類別的）
本身很有主見或想法的人
喜歡小動物（有養一隻陪了我很久的寵物貓，你地位一定比牠低😂）
喜歡騎車或開車
會帶我嘗試很多東西（前陣子被朋友推坑，覺得棒球賽超好看）

雷點： 
抽菸酗酒檳榔吸毒賭博等不良習慣（因為我都不會做）
私生活混亂
衛生不良
態度傲慢
很愛教訓人（可以引導或給我建議，教訓我我會牙起來）

徵友條件則沒有什麼限制
有想聊天認識都可以私訊
（我可以分享哪個密室逃脫好玩、或新番喜歡哪一部）
我真的很不擅長聊天
希望認識的過程可以從朋友開始熟悉
再慢慢發展
也預祝滑到這篇的各位
在感情上一路順遂","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779459284-4","https://www.dcard.tw/f/partner_selection_criteria/p/261062217","#異性 許願家庭背景相同的異性","#異性 許願家庭背景相同的異性國立政治大學不好意思修改一下 自知條件很多 但擇偶的要求都有做到

本人

28歲
155公分 40公斤
服務業
個性節儉 誠實 會做家事 自煮
有過1位前任 不會聯絡 沒有結過婚
有化妝保養習慣 沒有名牌包和衣服
無負債、無學貸
不跟伴侶以外的人發生關係 無性病
無父無母 雙方已在之前離開
沒有爺爺奶奶外公外婆 
未跟親戚聯繫也沒有財產上的爭議
無手足
新竹人
住原生家庭的房子 無房貸
養得起自己 沒有不合理的消費習慣
注重牙齒健康 注重身體清潔
無宗教信仰 不談論沒有辦法證明的存在
非素食主義者 台灣大部分的食物都吃 不吃蛇肉或田雞等少見食物 飲食控制到不會有慢性病
英文一般台灣成年人口說程度
沒有政治傾向

許願對象 有寫的就是硬性要求
打💟後的一段文字為期望 可聊細節
打🫂後的一段文字代表 你們真的很棒 很誠實 但並非我要找的對象 歡迎其他有興趣的異性聯繫喔

看得懂中文字 或 願意使用翻譯軟體 
能好好溝通 有能把本篇文字看完的耐心 且 不鑽文字漏洞 對於白紙黑字不討價還價
嚴格意義上的無父無母 禁止鑽文字漏洞 💟希望是跟我一樣的情況 可放寬到出生後立即無聯絡也完全不知下落 
🫂和原生家庭斷聯繫但父或母健在 或 現為單親家庭都不算喔
無不合理的負債 
養得起自己 沒有不合理的消費習慣
個性誠實
無性病
無多重伴侶
注重牙齒健康 牙齒出問題會去治療
無宗教信仰 或是 若你有宗教信仰 不要拉我入教
別太髒亂
50歲以下
如果你結過婚 請不要跟前任聯絡 💟希望不要有小孩
吃葷吃素都無所謂 不要吃到有慢性病的前提下 我不會干涉你的飲食習慣 請不要在非營養範圍外以宗教信仰限制我的飲食 💟雖然我完全不是素食主義者 但希望你不要詆毀素食主義者
外表不是鄧佳華的程度就可以
如果是外國人或住國外要先說

其他
可以幫你帶便當 但不保證好吃美觀
各付各的 心血來潮會請你吃飯
我會自主去運動 不干涉你的運動習慣
個人不太常旅遊 覺得國旅出國都偏貴 但有溝通好可以
要不要過節可配合你的喜好 先溝通好即可

若對您有興趣會主動聯繫 勿鑽漏洞謝謝",""
"1779459289-5","https://www.dcard.tw/f/partner_selection_criteria/p/261062276","#異性 #徵友","#異性 #徵友J買ETF的銀行工程師在銀行當工程師幾年了，生活其實蠻單純的。
平常就是上班，下班偶爾去散步。

個性算偏安靜型，但熟了其實蠻好聊天的。
平常也有在慢慢投資ETF，沒有很厲害，就是長期存一點，希望未來生活可以穩定一點。

休假有時候會到處走走、吃東西，偶爾也會想找人聊天分享生活。

想認識：

好聊天的人

個性正常、生活單純的人

不一定要馬上交往，先聊天認識也可以


如果剛好也在北部，或生活步調跟我有點像，歡迎聊聊～","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779459294-6","https://www.dcard.tw/f/partner_selection_criteria/p/260476173","#擇偶心得 師大約跑藍頭又出現了！","#擇偶心得 師大約跑藍頭又出現了！國立臺灣大學 資訊工程學系擇偶條件板國立臺灣海洋大學25/10/31#擇偶心得 女孩們小心了各位女孩小心了不知道他還有多少小帳可以發文章內容還都一樣此人約跑仔兼聊聊大軍，還只會取名稱有XX &台師 東吳，常駐擇偶 感情 星座 傳說 旅遊 西斯版❝ 引用的文章
今天他換了一個自介：
經過測試，這位師大藍頭就是卡稱「點名字有驚喜」或「非急勿點」。
<img alt=""sticker"" loading=""lazy"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%"" srcSet=""https://megapx-assets.dcard.tw/images/e6969278-d60c-48fd-9530-fde03fb5e49b/160.webp 1x, https://megapx-assets.dcard.tw/images/e6969278-d60c-48fd-9530-fde03fb5e49b/320.webp 2x"" src=""https://megapx-assets.dcard.tw/images/e6969278-d60c-48fd-9530-fde03fb5e49b/320.webp""/>藍頭擇偶避雷約跑感情",""
"1779459300-7","https://www.dcard.tw/f/partner_selection_criteria/p/261062767","#擇偶心得 受害者是不是擇偶版的人?","#擇偶心得 受害者是不是擇偶版的人?國立臺灣大學 資訊工程學系擇偶條件板國立臺灣大學 資訊工程學系25/12/15#擇偶心得 師大約跑藍頭又出現了！今天他換了一個自介：經過測試，這位師大藍頭就是卡稱「點名字有驚喜」或「非急勿點」。❝ 引用的文章常常在這版發文的師大約跑哥剛剛在西斯版發文，內容有女方生活照與約跑影片(都有打碼):
不知道有沒有事先取得女方的同意? (我甚至感覺是偷拍)

也讓各位知道師大哥的真面目~
<img alt=""sticker"" loading=""lazy"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%"" srcSet=""https://megapx-assets.dcard.tw/images/e6969278-d60c-48fd-9530-fde03fb5e49b/160.webp 1x, https://megapx-assets.dcard.tw/images/e6969278-d60c-48fd-9530-fde03fb5e49b/320.webp 2x"" src=""https://megapx-assets.dcard.tw/images/e6969278-d60c-48fd-9530-fde03fb5e49b/320.webp""/>擇偶約跑師大擇偶心得感情",""
"1779459305-8","https://www.dcard.tw/f/partner_selection_criteria/p/261062972","#異性 開學不嘻嘻，來佛系找朋朋","#異性 開學不嘻嘻，來佛系找朋朋D出四了阿北！地區：南部（怕被認親不想打太詳細）
年齡：18-24
學歷：醫學系
職業：學士就讀中
經濟：有在偶爾打工
外型：172bmi22，斯文型
興趣：棒球、看書、去戶外走走
個性：隨和、善良、寬容
感情：交過三個女朋友
家庭狀況：小康，可以半躺平，但還是會努力讓自己更好

順便許願可以找到學伴一起強大🥹","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779459311-9","https://www.dcard.tw/f/partner_selection_criteria/p/261062998","#同性 #同性 #雙性 找人生夥伴","#同性 #同性 #雙性 找人生夥伴A隨便抱歉，我不是雙性戀，標題只是想表示我對於另一半的性取向並沒有侷限，認為只要愛我就好。
有出櫃沒有錯，但害怕標籤太明顯，所以介紹會稍微保留一點，非常抱歉，我比較害羞⋯⋯
先自我介紹一下：

年齡｜26
身高｜157
體重｜45

外貌｜氣質偏中性，不是娘也不是陽剛，被很多人問過該稱呼我是先生或小姐。
長相的話⋯⋯不知道該怎麼形容會比較好，確實很常被陌生人說好看，有被問過是不是混血或原住民，但我覺得也很有可能是我中文有些口音⋯⋯嗎？我不知道。自己覺得頂多70/100左右，如果好奇的話也是可以私訊看的。
穿著的話，個人偏好日系古著穿搭，但偶爾也會想把自己打扮成不同樣子，風格比較看心情切換。

學歷｜某間國立藝術大學
工作｜藝術行業從事人員&酒吧上班（但是酒精過敏）
角色｜偏0，有嘗試過當1，但真的不喜歡
居住地｜新北，沒有談過遠距離，不確定能不能勝任

興趣｜閱讀、滑板、跑步、電影、遊戲、桌遊（特別鍾愛拉米）、音樂、創作、逛展覽、買衣服，最近有想試試健身，但我真的害怕人多以及看起來不專業這件事，我知道大部分健身的朋友都很樂於助人，但還是害怕⋯⋯

個性｜可能算是很慢熱的人，還有⋯⋯應該算是有反差，本身在朋友面前的個性偏嚴肅吧？反正他們第一次看到我跟當時的對象撒嬌時，他們深表震撼。
然後很喜歡思考，也喜歡關注時事之類的，腦子屬於停不下來那種，長期失眠⋯⋯這好像算扣分項目嗎？
最近在嘗試盡量把心事跟想法說出來，朋友覺得我很悶，在努力中⋯⋯

偏黏人，喜歡跟另一半處在同個空間，即便各做各的也會覺得幸福。
情緒很多，但不情緒化，不會在不合時宜的時候發洩情緒，但情緒真的很多，不喜歡隱藏情緒。

朋友圈｜目前朋友不算多，會約出去的也就那幾個，比較常跟自己生活，孤獨指數列表的事我都能自己做，也確實都做過了，但總會覺得有個夥伴應該會更有趣。

夥伴的條件：
先說，我其實比較在意身高和身材，其他的外貌條件真的沒有非常硬性的要求，我比較在意兩個人的個性和相處方面是不是合拍，這對我來說真的比較重要。

年齡｜不要未成年都好。
身高｜173以上都沒有問題。
體重｜勻稱或者瘦。

外貌｜會希望有些特點，比如戴眼鏡好看，睫毛好看，鼻子很挺，腿特別長這種，不是全部同時需要，是擇其一的感覺。
穿著乾淨，有自己風格的更好！

學歷｜沒有要求，聊得來都行，畢竟本人有個爛學霸前任⋯⋯
工作｜也沒有要求，有規劃就好，但不是做夢那種。

角色｜偏1或者純1，又或是可以接受交往期間只當1的不分，喔對我慾望滿強的⋯⋯還有可接受開放式，但那會是在愛情三角中的激情消失以後我才會考慮進入的關係。
而激情消失大約是7-9年，也就是說短期不考慮，大概是這樣。

居住地｜沒有談過遠距離，但想像中可能還可以接受⋯⋯嗎？我不知道，目前都想聊聊看，都認識認識。

興趣｜不一定要相同，不會覺得我的興趣很無聊，或者批評我的興趣就行。
但畢竟興趣相同也會比較好熟悉彼此，我不是很會找話題，如果你也是很被動的人，可能興趣相近我才會話比較多，抱歉了。

個性｜溫柔、知性、善良，差不多這樣⋯⋯吧？我不知道會不會太抽象。
然後也希望對方黏一點好。

朋友圈｜偏好已出櫃的，進入對方朋友圈對我來說會得到極大的安全感跟被認同感，所以我很喜歡。

目前大概是這樣，希望能找到合適的！
加油！
然後還是想說，我一切真的都很看相處的！
也是想嘗試多聊聊，都可以聊的！","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779459316-10","https://www.dcard.tw/f/partner_selection_criteria/p/261063557","#同性 #同性#北部","#同性 #同性#北部國立政治大學關於我
性別：生理男心理男
年齡：21
學歷：頭上這間在學
個性：算是有趣嗎，平常喜歡講幹話，有時候很搞怪，在外面會有點內向，但是熟了就會蠻放得開，願意照顧別人，不過有時候很掙扎到底怎麼樣的關心是舒服的，被評價過的個性是：溫柔、怪（我也覺得這兩個標籤很適合我）
興趣：平常喜歡打電動，最近正在試著養成看書的習慣（對於內在的心理關懷、散文有興趣），目前有喜歡鑽研的學科，如果你有興趣我也可以分享給你，其他的有繪圖、聽音樂等等。
身高：175-178
體重：60-62
出櫃狀況：身旁熟的朋友知道，家人的想法我不太在乎他們接不接受對我都不會有影響
長相：我不太知道我長相是算哪裡，朋友說是可愛？有熟的女性朋友說我帥。但我不太這麼覺得，就一般人的長相，我大概給我自己75/100分而已。


希望你
學歷：台清交或醫學相關科系（其實不是一個一定，主要是我希望彼此不要有對話上的落差，至於學校我是希望不要和同校的交往以及台北以外的學校，希望見面不會是難事，新竹對我來說已經有點遠了，這部分我比較堅持，還請同校的見諒）希望不要是文組的
長相：希望你不是外表上看起來很C或者是過於有個性的打扮的人，除此之外乾淨就好。（如果你是大哥哥類型的我會很喜歡）
身高：175以上就好
年齡：21以上，我喜歡年紀比我大的，我希望可以一起出來讀書，學生佳
體重：健康身材就好，基本上不要比我瘦就好（比我瘦應該蠻難的吧⋯XD)
個性：希望你可以對自己夠了解，你身上絕對有因為成長歷程所塑造的優點和缺點，這些特質塑造了現在獨一無二的你，我喜歡去從外到內的去理解一個人，但希望你能先對自己的特質有足夠了解，再來準備好去認識一個人，我才能準備好認識你的所有。

你可能在意的點

我是安全型依附/我喜歡一起溝通問題，前提是我們有安全的溝通關係（所以才希望你夠了解自己）/我和家庭關係不好（如果你有興趣我可以再更認識後再和你說我的故事），但他們不會對我有任何生活上的影響/我沒有談過戀愛/我性探索很晚，目前對性愛沒有興趣，自我認同是喜歡同性的有浪漫傾向之半性戀（白話文：喜歡同性、會喜歡人、對於性行為的態度是可以嘗試但絕對不會很喜歡性愛）如果你很在乎性愛生活的話我可能不會是你理想的對象。/無信仰/不菸偶爾酒小酌

我在意的點

希望你有性別意識，知道男性與女性都是父權主義下的受害者/希望你能對像對待自己一樣對其他人溫柔/希望你不要因為讀頂大而瞧不起社會地位不如你的人/希望你不要有特定宗教背景而試著改變我（言下之意我接受你的宗教背景但希望你也能尊重我）/如果你對我沒興趣，希望你可以和我說你在意的點，如果雙方都不能為此退讓，我們再互相道別就好，可以適時的提出自己的想法/無抽煙習慣

加分點

開朗樂觀/同樣是安全型依附/不是完美主義/有自己的生活和興趣/有自己的想法和未來版圖/關心這個社會和身旁的人

不太確定這樣的交友條件會不會太嚴苛，如有再煩請各位指教了～希望能找到可以一起搞怪的兄弟型戀人（？）同性北部",""
