web_scraper_order,web_scraper_start_url,title,content,author_or_gender_area
"1779456307-1","https://www.dcard.tw/f/partner_selection_criteria/p/261264951","#異性 異性徵友另一半～","#異性 異性徵友另一半～Ypobobo追蹤昨天 13:49 (已編輯)【關於我】
年紀：1990年
職業：公家機關
星座：雙子
身高：180
體重：74
個性：安靜內向，慢熱，不太會跟異性聊天，有責任感，脾氣好
興趣：慢跑、游泳、小爬山、吃美食、戶外踏青、逛街、追劇、看電影
地區： 中部-彰化.台中.苗栗.新竹
長相：普通、乖乖的

希望另一半條件：年紀27-35
個性：好相處、溫柔貼心、專一、孝順、情緒穩定、有分享慾～
身高150UP、BMI正常

願意認識可來私信介紹交換照片（要互相啊....
（有徵到會關私訊😅）","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779456312-2","https://www.dcard.tw/f/partner_selection_criteria/p/261266721","#異性 #交友#聊天 交朋友","#異性 #交友#聊天 交朋友Tmiosen追蹤4 月 9 日 19:15 (已編輯)嗨各位，最近深感自己的交友圈有點狹窄，試著認識各方向各個領域的大家。

身高體重: 171/65
個性: 活潑、體貼、會思考很多東西、團體中的開心果
學系: 台大理工
興趣: 料理、閱讀小說、旅遊、寫文章。最近嘗試溜冰、衝浪

目前在歐洲讀書，旅遊足跡橫跨整個歐洲，也有獨旅的經驗，我可以分享旅遊中遇到的各種有趣事情，還有跟歐洲人相處的互動。

常常在深夜時，打開紀錄軟體把今天的發生的事情寫下自己的看法。

想認識誰:
樂於分享的人
願意交換觀點的人
一起玩皮克敏的人(在歐洲找不到人打菇)

分享一張冰島的鑽石沙灘","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779456318-3","https://www.dcard.tw/f/partner_selection_criteria/p/261266754","#異性 #異性 想找合得來的對象，不是為了填補空缺，而是希望兩個人能互相欣賞、互相加分","#異性 #異性 想找合得來的對象，不是為了填補空缺，而是希望兩個人能互相欣賞、互相加分國立屏東大學4 月 9 日 19:36 (已編輯)性別：男 
年齡：25歲 
身高：172
體重：49 (對拉我過輕)
學歷：正在就讀屏東大學碩士
氣質：靈魂伴侶型，談吐有趣 幽默 喜歡笑 熟了會無話不談的類型
愛好：喜歡去圖書館看書，公園散步，每天都會運動(慢跑)，喜歡泡咖啡和去咖啡廳喝咖啡(探店)，聽音樂(邊聽音樂邊泡咖啡真的是一天中的巔峰時刻!!)，喜歡彈流行鋼琴(如果手邊有鋼琴，我非常願意彈給你聽!!! 可以點歌~~)，喜歡享受夜晚的安靜，超愛和朋友在半夜聊天(人在晚上時，理性下降，感性上升，而且可以聊得很深很廣，會聊到怡然自得與忘我)，對天文有興趣(會學習天文知識)，喜歡貓~~ 之後的興趣想來挑戰露營

想找另一半不是為了填補空缺，而是希望兩個人能互相欣賞、互相加分
「可以陪你談宇宙 各種聊，也可以陪你過日子。」

想尋找的對象~~~
 
性別：女 
身高：不在意
年齡：20-35 (其實我對年齡比較沒有在意)
地區：屏東  (我在屏東市，希望不要離屏東市太遠) 

希望有幽默，不要太嚴肅的，嚴肅的話有點反差比較有趣哈哈哈，有包容力的

不用有壓力，可以來聊天交朋友我也很開心~~
看完介紹後，不想處對象，想來當朋友的很歡迎!!!",""
"1779456323-4","https://www.dcard.tw/f/partner_selection_criteria/p/261266908","#異性 徵伴侶","#異性 徵伴侶W吳追蹤4 月 14 日 17:15 (已編輯)很高興認識你，因為工作環境認識異性的機會比較少，所以想認識看看異性，第一次發文 有不足的地方希望大家多擔待，以下是我的自我介紹
關於我
地區:新竹
職業：公職
年齡：25-28歲
身高：181cm 
體重：79kg 
年薪：90
感情：0任 (母單
個性：好相處，喜歡跟人分享生活
興趣：玩遊戲，散步，打籃球
家庭：普通家庭
其他：不菸酒不賭博無負債，汽機車駕照皆有
有緣人： 
年齡：希望加減5歲
身材：看起來健康就好 ，希望不要過胖或過剩
地區：沒有特別要求能，但希望能有見面的時間
其他：有正常工作(可以溝通討論相處的時間)、三觀正常、交友圈單純、有邊界感、未婚過、未有小孩過 
家庭：普通家庭就好
其他：生不生小孩可由另一半未來規劃，不會特別要求
如果願意認識的話麻煩幫我留言或者私訊都ok，謝謝各位","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779456329-5","https://www.dcard.tw/f/partner_selection_criteria/p/261267332","#異性 找尋另一半","#異性 找尋另一半小黑追蹤4 月 9 日 21:10 (已編輯)這禮拜有多一位島嶼的位置，希望有人可以一起去吃

關於我
性別：男｜年齡：24｜身高 / 體重：175 / 67
地區：南部居多 一個月一次會跑桃園
星座：牡羊座｜MBTI：ENFJ
感情：1任（1年
年薪：一個月約7萬 加年終100多
有自己的車 🚗 、房子🏠

關於我
喜歡潛水🏊‍♂️、籃球🏀、影劇動漫📚、料理🍳

希望遇到的妳
懂情緒、能溝通、不冷戰
對異性有邊界感，孝順但獨立

感情觀
不求轟轟烈烈，只想安穩相伴。
一起生活、一起變好，比浪漫更長久。


附上國外的水族館",""
"1779456334-6","https://www.dcard.tw/f/partner_selection_criteria/p/261267869","#異性 #尋找氣質型的女生","#異性 #尋找氣質型的女生NKB追蹤4 月 10 日 14:20 (已編輯)前言：之前有發過文也有和1-2個很不錯的女生聊天見面，後來都當朋友偶爾聯絡，所以再發一次看看XD

［關於我］
年齡/年齡/體重：28/175/78
學經歷：中字學士清交碩
地區：台北人在竹科上班 
外貌/個性： 精壯型（每週固定重訓跟有氧）
                 偏日系穿搭 簡單乾淨的風格
個性：是個溫柔體貼的好男生吧 （自己說🤣）
         一開始比較慢熟，但算好相處
         算是也會給情緒價值，畢竟這種東西我也
         需要～
       （但還是妳實際相處的感受比較準XD）
興趣：
     -追劇： 大多看韓劇 最近有在看的有黑白大
                 廚、單身即地獄、愛情怎麼翻譯等
     -看球賽：職籃職棒都有看 偶爾會去看現場
     -旅遊：每年安排 1-2 次的出國玩（日韓為
                主），很喜歡規劃行程也有自駕跟獨旅
                過，然後週末偶爾會和朋友去露營
     -拍照：喜歡拍照紀錄生活 有在玩拍立得
     -展覽：很喜歡沈浸式展覽，其實出社會後才開
                始看，想說透過看展讓自己身心在這快
                節奏的步調平靜下來 用心感受XD
     -美食：火鍋、拉麵、甜點都蠻喜歡的，所以也
                歡迎一起約踩咖聊天～
     -當然還有其他的興趣，聊天聊到再慢慢挖掘！

［希望遇見的妳］
性別：女
年齡：24-28
學歷：偏好中字以上等大學或碩士
（唸哪非必要條件，只是方便找價值觀相近的人）
坐標：偏好雙北桃竹
身高體重：155～165（健康 BMI正常）
外貌穿搭：喜歡穿搭的可愛氣質型的日韓系女生
               無刺青
個性：文靜內斂、情緒穩定、體貼溫柔
興趣：不拘 但希望多少我們有共同點

［其他想說的］
- 喜歡沒有壓力 慢慢認識自然靠近的步調
- 雖然主要以找對象為主 但聊得來的話也不排斥
   當朋友
- 看完文章想認識的話希望可以私訊我妳的簡單
   自介，可以參考看看我的列項 
- 我承認我剛認識人比較外貌協會，不過我覺得面
   相跟穿搭的呈現也多少代表著一個人的個性跟散
   發的磁場，所以對我來說也很重要。主要想找偏
   文靜內斂一點的女生，因此希望一開始始聊時對
   彼此有基本的認識後我們交換照片！

最後很感謝看到這裡的妳🙏
祝大家都可以找到自己心儀的對象並且像這隻小hello kitty一樣成功的爬進心儀對象的心坎裡XD
謝謝大家！","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779456340-7","https://www.dcard.tw/f/partner_selection_criteria/p/261267945","#同性 南部半工半讀學生希望同縣市","#同性 南部半工半讀學生希望同縣市Rruirui95追蹤4 月 10 日 21:58 (已編輯)記得開卡稱不然無法私訊喔！
【自我介紹】
年齡：19
身高體重：162/54
職業：調度員
個性：內向、呆呆的
興趣：拍照跟看電影
星座：獅子座
假日黏在床上睡覺，偶爾出門晃晃
現在還在讀書

【擇偶條件】
年齡：30以下
身高體重：不限
個性：不限
興趣：希望有相關","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779456345-8","https://www.dcard.tw/f/partner_selection_criteria/p/261269501","#同性 （已截止）找對象 希望是可愛的男孩子哇","#同性 （已截止）找對象 希望是可愛的男孩子哇K平均路過的人追蹤4 月 12 日 19:16 (已編輯)性別：男
取向：我是1號！🫪
年齡：20
身高：171
體重：58公斤
學歷：大學牲
工作：做大夜兼職，每個禮拜都會有兩天放假，可以約出來玩丫😚
出沒地點：屏東

興趣：籃球，線上/單機遊戲，公路車，機車旅行，出門玩，桌遊，聽小說

一直想約人環島！我騎車載就好😝


個性：朋友都說我是社牛，但我自認蠻內向哈哈😶

外表：熟或不熟的朋友都有說過我帥，但我覺得比較看人囉😐

-------------------------------------------------------
希望條件

性別：男或跨性別
年齡：跟我差不多就好了，年下年上都好
身高：都好哇，比我矮的話我會比較開心😗
體型：喜歡瘦一些的
學歷：不限
出沒地點：不要太遠，屏東，高雄，墾丁，台東，從而言之我們能常常見面就好了😶‍🌫️

興趣：有跟我相同的任何一項都好，至少要有點可以一起做的事


個性：希望比較黏人一點，不然我會沒有安全感🥹

外表：（自認）可愛就好了，不用很帥很美啦

有什麼好奇的都可以私訊問喔，身邊有在找對象的也歡迎介紹給我認識😍

各位哥哥們，抱歉我沒說清楚讓很多人失望了，我喜歡的是長的偏女性的男生哈哈，但你們密我我都回你們啦，太熱情了❤️

諸位我要回去上班了先不回私訊了，如果我這次找到對象會來還願的哈哈🫣","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779456351-9","https://www.dcard.tw/f/partner_selection_criteria/p/261269738","#異性 #異性 #新竹 #EE 找另一半","#異性 #異性 #新竹 #EE 找另一半SSkoo追蹤4 月 10 日 07:55關於我
年齡：31
職業：科技業
身高：173
體重：68-70
外型：戴眼鏡斯文型（可以私訊交換）
學歷：NTUST
財務：無負債
地區：新竹為主
興趣：吃美食、看YT、出國旅遊
個性：情緒穩定、可穩重可幽默（看場合）

希望你
年齡：33以下
身高體重：BMI正常
學歷：大學以上
地區：新竹為主（台中以北也可以）
職業：不限
外表：順眼
個性：願意溝通、情緒穩定

想多了解、多認識的可以私訊我，我都會回覆，謝謝你","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779456356-10","https://www.dcard.tw/f/partner_selection_criteria/p/261269903","#異性 #異性#新竹 以結婚為前提交往","#異性 #異性#新竹 以結婚為前提交往Uunununc追蹤4 月 10 日 13:35 (已編輯)更--------------------------------------------------------------------------------
抱歉 訊息量有點多 我會盡量努力回訊息的
很謝謝私訊我的人 有些人打的自介 比我還要多
關於我的自我介紹稍微少一點 這邊做回覆
因為我自己是個因接觸的人不同 會有變化的人
所以我沒有打太多 就依實際相處為主


用過交友軟體但總體驗不是很好，才想在這裡發看看。
關於我
年齡：27
身高/體重：163/46
外貌：有被搭訕過所以應該是不差，可以換照
地點：新竹
學歷：碩士
收入：年薪約100UP
資產：名下有房有車
近期才開始投資股票，還在學習當中
興趣：旅遊、看電影、追劇、看動漫~
個性：算溫和，好相處，應該沒什麼特別不好的點
MBTI：ENTJ
金錢觀：傾向AB制，會主動負擔一些。<img alt=""sticker"" loading=""lazy"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%"" srcSet=""https://megapx-assets.dcard.tw/images/ee2a82a4-7c75-42d9-b183-84c226c059a5/160.webp 1x, https://megapx-assets.dcard.tw/images/ee2a82a4-7c75-42d9-b183-84c226c059a5/320.webp 2x"" src=""https://megapx-assets.dcard.tw/images/ee2a82a4-7c75-42d9-b183-84c226c059a5/320.webp""/> 
希望的你：
年齡 ：比我大
地點：新竹(不喜歡遠距)
學歷：大學以上
外貌：順眼乾淨，BMI正常
收入：比我好或跟我差不多
個性：沒有特別不好的點，可以跟我相處的人
有興趣可以私訊我，介紹自己~謝謝","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-female)"
